V1,Qx_random,Qx_strat,p_random,p_strat,REP
Tm-c.p,0.413871823225762,0.118434290841703,0.520010833834609,0.730738870452734,M11
Tm-nc,1.24072115564526,0.499709949390745,0.265332114804135,0.479627595630042,M11
c,0.00140553751032786,0.119490236204456,0.970093915574978,0.729588028366949,M12
c.p,0.00140553751032786,0.119490236204456,0.970093915574978,0.729588028366949,M12
nc,0.540232872098524,0.845862031166869,0.462336232733528,0.357725590902248,M12
Tm-c,0.167554369330968,0.0353280270145938,0.682294526363506,0.850909956550807,M12
Tm-c.p,0.167554369330968,0.0353280270145938,0.682294526363506,0.850909956550807,M12
Tm-nc,0.530534362637647,4.17941018818151,0.466382288965635,0.0409179384194967,M12
c,0.319343058754948,0.528460910525584,0.572002710263163,0.467254644282651,M13
c.p,0.319343058754948,0.528460910525584,0.572002710263163,0.467254644282651,M13
nc,0.0775685015331391,0.00172094645717999,0.780619950747831,0.966909815487916,M13
Tm-c,0.224639241524823,0.603309627832915,0.635527559011575,0.437318032100975,M13
Tm-c.p,0.224639241524823,0.603309627832915,0.635527559011575,0.437318032100975,M13
Tm-nc,0.352202823423618,1.16948272872457,0.552868806171014,0.279507551312569,M13
c,0.00283388542668822,0.0584975193813991,0.957545266338754,0.808886627348067,M14
c.p,0.00283388542668822,0.0584975193813991,0.957545266338754,0.808886627348067,M14
nc,5.34575198216233,0.165239362431807,0.0207728216582012,0.684377866144736,M14
Tm-c,0.0767461765310525,0.0137401263432786,0.781756300602023,0.90668707745453,M14
Tm-c.p,0.0767461765310525,0.0137401263432786,0.781756300602023,0.90668707745453,M14
Tm-nc,0.207902824933172,2.14761193845069,0.648416137461704,0.142791836826557,M14
c,0.17668152587118,0.00391655878567286,0.674240733069498,0.950099032008565,M15
c.p,0.17668152587118,0.00391655878567286,0.674240733069498,0.950099032008565,M15
nc,0.765177387240538,0.209448594146739,0.381713113388516,0.647199933890538,M15
Tm-c,0.376897522486039,0.00186937435669744,0.539268324558999,0.965513199162354,M15
Tm-c.p,0.376897522486039,0.00186937435669744,0.539268324558999,0.965513199162354,M15
Tm-nc,0.0458193330402565,0.473133052844893,0.830504549705215,0.491549337810356,M15
c,2.00951314111509,0.356582540158861,0.156315474713787,0.550410358479129,M16
c.p,2.00951314111509,0.356582540158861,0.156315474713787,0.550410358479129,M16
nc,2.37937484103871,0.0161406674796509,0.122946739329291,0.898904048815209,M16
Tm-c,0.395431431869626,0.000696291120418461,0.529458138085895,0.978948400796735,M16
Tm-c.p,0.395431431869626,0.000696291120418461,0.529458138085895,0.978948400796735,M16
Tm-nc,0.773955099256676,0.0237897190646316,0.378996284897307,0.877421164892286,M16
c,0.378295889233125,3.45793576329143,0.538516661487457,0.0629488549533748,M17
c.p,0.378295889233125,3.45793576329143,0.538516661487457,0.0629488549533748,M17
nc,0.0216006527601555,0.383440712553712,0.883154432605708,0.535767553237971,M17
Tm-c,0.0767604126221699,2.05882978443075,0.78173657248906,0.151326344097837,M17
Tm-c.p,0.0767604126221699,2.05882978443075,0.78173657248906,0.151326344097837,M17
Tm-nc,0.520765479090457,0.299091421415101,0.470515332963399,0.584452579316639,M17
c,0.547690387938156,0.799185170499343,0.459262938950297,0.371337101847906,M18
c.p,0.547690387938156,0.799185170499343,0.459262938950297,0.371337101847906,M18
nc,2.35316615319511,1.96524905561836,0.125028838631679,0.160953052198069,M18
Tm-c,0.537294081610577,0.375999669898853,0.463556315248355,0.539751959410713,M18
Tm-c.p,0.537294081610577,0.375999669898853,0.463556315248355,0.539751959410713,M18
Tm-nc,4.15992799091801,0.00476731625433346,0.0413911636654554,0.944953199320609,M18
c,0.303513212935538,0.0475911376645563,0.581688288542533,0.827309178202338,M19
c.p,0.303513212935538,0.0475911376645563,0.581688288542533,0.827309178202338,M19
nc,0.00179660432558369,0.707079983759105,0.966190694089709,0.400414894159741,M19
Tm-c,0.0256122879370332,0.0409900859103848,0.872850829003862,0.839557059980171,M19
