rep	case	h2	env	ts	ts_magnitude
L16	C1	diff-0.3	env-1.0	p-0.50	0.1340841578489
L17	C1	diff-0.3	env-1.0	p-0.50	-0.0953746001817872
L18	C1	diff-0.3	env-1.0	p-0.50	0.11350353540836
L19	C1	diff-0.3	env-1.0	p-0.50	0.0837746998739979
L20	C1	diff-0.3	env-1.0	p-0.50	-0.0698875459694471
L21	C1	diff-0.3	env-1.0	p-0.50	-0.0290026137414762
L22	C1	diff-0.3	env-1.0	p-0.50	0.0210182804462882
L23	C1	diff-0.3	env-1.0	p-0.50	-0.0686495821232049
L24	C1	diff-0.3	env-1.0	p-0.50	-0.114942339216806
L25	C1	diff-0.3	env-1.0	p-0.50	-0.00513307621928441
L26	C1	diff-0.3	env-1.0	p-0.50	0.00615780543164346
L27	C1	diff-0.3	env-1.0	p-0.50	0.173795384339912
L28	C1	diff-0.3	env-1.0	p-0.50	-0.17443747973939
L29	C1	diff-0.3	env-1.0	p-0.50	-0.0283958028530363
L30	C1	diff-0.3	env-1.0	p-0.50	0.0965930983200849
L31	C1	diff-0.3	env-1.0	p-0.50	0.128778950567664
L32	C1	diff-0.3	env-1.0	p-0.50	-0.153910775878635
L33	C1	diff-0.3	env-1.0	p-0.50	0.160997590801992
L34	C1	diff-0.3	env-1.0	p-0.50	-0.0927755695079547
L35	C1	diff-0.3	env-1.0	p-0.50	0.119551385695239
L36	C1	diff-0.3	env-1.0	p-0.50	-0.152061066901153
L37	C1	diff-0.3	env-1.0	p-0.50	0.231840032588604
L38	C1	diff-0.3	env-1.0	p-0.50	-0.0780024426019057
L39	C1	diff-0.3	env-1.0	p-0.50	-0.0138202996162082
L40	C1	diff-0.3	env-1.0	p-0.50	0.108383449091893
L41	C1	diff-0.3	env-1.0	p-0.50	0.0187075905795637
L42	C1	diff-0.3	env-1.0	p-0.50	0.00491211515328721
L43	C1	diff-0.3	env-1.0	p-0.50	0.124743559364169
L44	C1	diff-0.3	env-1.0	p-0.50	0.115142176572733
L45	C1	diff-0.3	env-1.0	p-0.50	-0.0638596296096803
L46	C1	diff-0.3	env-1.0	p-0.50	0.156599878367568
L47	C1	diff-0.3	env-1.0	p-0.50	-0.0293356880984822
L48	C1	diff-0.3	env-1.0	p-0.50	-0.0406800197241362
