rep	case	h2	env	ts	Qx	P-Chi	P-EN
L29	C1	same-0.3	env-1.0	p-0.50	0.778549337340382	0.377585171465809	0.348
L30	C1	same-0.3	env-1.0	p-0.50	0.277709038911773	0.598206740286542	0.604
L31	C1	same-0.3	env-1.0	p-0.50	0.320133987615391	0.571527134436105	0.514
L32	C1	same-0.3	env-1.0	p-0.50	0.0284909764475514	0.865959698456275	0.868
L33	C1	same-0.3	env-1.0	p-0.50	0.261352084524486	0.609192772712531	0.642
L34	C1	same-0.3	env-1.0	p-0.50	0.306038568334139	0.580121313160865	0.57
L35	C1	same-0.3	env-1.0	p-0.50	0.297984587868672	0.585148670433558	0.59
L36	C1	same-0.3	env-1.0	p-0.50	0.29681058791092	0.585888838970556	0.589
L37	C1	same-0.3	env-1.0	p-0.50	0.133706496021996	0.714619552105991	0.703
L38	C1	same-0.3	env-1.0	p-0.50	0.0300479954475464	0.862381373161478	0.881
L39	C1	same-0.3	env-1.0	p-0.50	0.0690782282078361	0.792683636131017	0.794
L40	C1	same-0.3	env-1.0	p-0.50	0.0805211336027985	0.776592425142023	0.783
L41	C1	same-0.3	env-1.0	p-0.50	0.208845030918087	0.647674166802519	0.622
L42	C1	same-0.3	env-1.0	p-0.50	0.486161955245148	0.485644381959652	0.512
L43	C1	same-0.3	env-1.0	p-0.50	0.0381070441196112	0.845228350244164	0.833
L44	C1	same-0.3	env-1.0	p-0.50	0.217965896897906	0.640594192779232	0.647
L45	C1	same-0.3	env-1.0	p-0.50	2.58505155774039	0.107876895637275	0.097
L46	C1	same-0.3	env-1.0	p-0.50	0.176435977552159	0.674454166866306	0.665
L47	C1	same-0.3	env-1.0	p-0.50	1.00584999848349	0.315899107841285	0.228
L48	C1	same-0.3	env-1.0	p-0.50	1.31182994350565	0.252063601251382	0.229
L49	C1	same-0.3	env-1.0	p-0.50	0.000396973697940652	0.984103841121856	0.982
L50	C1	same-0.3	env-1.0	p-0.50	0.165999507546483	0.683691924071268	0.714
L51	C1	same-0.3	env-1.0	p-0.50	0.208311516221413	0.648094051284934	0.706
L52	C1	same-0.3	env-1.0	p-0.50	0.393744255912823	0.530337798923034	0.508
L53	C1	same-0.3	env-1.0	p-0.50	0.0140650775845812	0.905595212833631	0.92
L54	C1	same-0.3	env-1.0	p-0.50	1.24884982587257	0.263772268044497	0.272
L55	C1	same-0.3	env-1.0	p-0.50	0.249917144046135	0.617133424912286	0.655
L56	C1	same-0.3	env-1.0	p-0.50	0.179250893391103	0.672017802781792	0.673
L57	C1	same-0.3	env-1.0	p-0.50	0.480589345724804	0.488155488448776	0.458
L58	C1	same-0.3	env-1.0	p-0.50	4.19306069889053	0.04058975317257	0.048
L59	C1	same-0.3	env-1.0	p-0.50	0.197623001684223	0.65664637048716	0.591
L60	C1	same-0.3	env-1.0	p-0.50	0.287524767234607	0.591811101289676	0.631
L61	C1	same-0.3	env-1.0	p-0.50	1.10254109528317	0.293709115716956	0.257
L62	C1	same-0.3	env-1.0	p-0.50	0.574155742399036	0.448612244587291	0.389
L63	C1	same-0.3	env-1.0	p-0.50	0.255252910563334	0.613400389194465	0.577
L64	C1	same-0.3	env-1.0	p-0.50	0.026763409670279	0.870049775019007	0.86
L65	C1	same-0.3	env-1.0	p-0.50	1.4092957205926	0.235173342802236	0.249
L66	C1	same-0.3	env-1.0	p-0.50	0.0105414993294178	0.918223452529388	0.909
L67	C1	same-0.3	env-1.0	p-0.50	0.39150926527217	0.531507132945423	0.491
L68	C1	same-0.3	env-1.0	p-0.50	1.71568419461426	0.190249533076897	0.169
L69	C1	same-0.3	env-1.0	p-0.50	0.245301934987098	0.620402731273576	0.671
L70	C1	same-0.3	env-1.0	p-0.50	0.343626367137319	0.557743455949209	0.558
L71	C1	same-0.3	env-1.0	p-0.50	0.0909811828619175	0.762933471126171	0.765
L72	C1	same-0.3	env-1.0	p-0.50	1.33744805466689	0.247484510747661	0.199
L73	C1	same-0.3	env-1.0	p-0.50	5.08704889780388	0.0241051780285489	0.008
L74	C1	same-0.3	env-1.0	p-0.50	0.326128245889598	0.567947860523107	0.574
L75	C1	same-0.3	env-1.0	p-0.50	0.000364966977245258	0.984758053592969	0.985
L76	C1	same-0.3	env-1.0	p-0.50	0.082599897062	0.77380454669587	0.796
L77	C1	same-0.3	env-1.0	p-0.50	1.37910604251153	0.240253479499452	0.21
L78	C1	same-0.3	env-1.0	p-0.50	0.93740155647482	0.332946991953172	0.388
L79	C1	same-0.3	env-1.0	p-0.50	0.000969150606703586	0.975164920615421	0.976
L80	C1	same-0.3	env-1.0	p-0.50	1.07133315444921	0.300644511870095	0.262
L81	C1	same-0.3	env-1.0	p-0.50	0.0488710825827341	0.825039447470614	0.859
L82	C1	same-0.3	env-1.0	p-0.50	1.58297234513549	0.208333070174129	0.17
L83	C1	same-0.3	env-1.0	p-0.50	0.419149772413811	0.517361596430165	0.552
L84	C1	same-0.3	env-1.0	p-0.50	0.109205812127673	0.741050125130214	0.754
