rep	case	h2	pheno	envs	test	Qx	P.Chi	P.EN	P.Chi_Lat	P.EN_Lat	P.Chi_Long	P.EN_Long	type
A14	C1	h2-0	LAT	env-0.0	LAT	7.33927037691379	0.949353693992965	0.959	0.949353693992965	0.953	0.0067464216597433	0.002	c-ID
A14	C1	h2-0	LAT	env-0.0	LAT	7.33927037691379	0.949353693992965	0.956	0.949353693992965	0.941	0.0067464216597433	0.005	c.p-ID
A14	C1	h2-0	LAT	env-0.0	LAT	0.282461142695882	0.115188610218286	0.137	0.115188610218286	0.125	0.595092615430998	0.617	nc-ID
A15	C1	h2-0	LAT	env-0.0	LAT	3.02042451333428	0.297807018915186	0.324	0.297807018915186	0.264	0.0822219407128175	0.072	c
A15	C1	h2-0	LAT	env-0.0	LAT	3.02042451333428	0.297807018915186	0.287	0.297807018915186	0.306	0.0822219407128175	0.067	c.p
A15	C1	h2-0	LAT	env-0.0	LAT	0.142345202333697	0.817817433119845	0.816	0.817817433119845	0.829	0.7059606058776	0.68	nc
A15	C1	h2-0	LAT	env-0.0	LAT	2.94823913468681	0.248121692826459	0.236	0.248121692826459	0.246	0.0859711841447823	0.075	c-Tm
A15	C1	h2-0	LAT	env-0.0	LAT	2.94823913468681	0.248121692826459	0.246	0.248121692826459	0.227	0.0859711841447823	0.103	c.p-Tm
A15	C1	h2-0	LAT	env-0.0	LAT	0.0618431147968297	0.95969595552895	0.957	0.95969595552895	0.959	0.803606186011821	0.805	nc-Tm
A15	C1	h2-0	LAT	env-0.0	LAT	2.98633167456811	0.281191621460262	0.257	0.281191621460262	0.298	0.0839701904353452	0.081	c-ID
A15	C1	h2-0	LAT	env-0.0	LAT	2.98633167456811	0.281191621460262	0.296	0.281191621460262	0.307	0.0839701904353452	0.083	c.p-ID
A15	C1	h2-0	LAT	env-0.0	LAT	0.111463578759101	0.973309064161682	0.972	0.973309064161682	0.966	0.738483985314561	0.715	nc-ID
A16	C1	h2-0	LAT	env-0.0	LAT	0.103782703444248	0.658413071518315	0.643	0.658413071518315	0.64	0.747336614415503	0.729	c
A16	C1	h2-0	LAT	env-0.0	LAT	0.103782703444248	0.658413071518315	0.631	0.658413071518315	0.637	0.747336614415503	0.739	c.p
A16	C1	h2-0	LAT	env-0.0	LAT	0.66161692117818	0.82782632085101	0.834	0.82782632085101	0.844	0.415989689050412	0.419	nc
A16	C1	h2-0	LAT	env-0.0	LAT	0.0933240955693856	0.845503632871792	0.819	0.845503632871792	0.854	0.759993040547616	0.76	c-Tm
A16	C1	h2-0	LAT	env-0.0	LAT	0.0933240955693856	0.845503632871792	0.833	0.845503632871792	0.847	0.759993040547616	0.743	c.p-Tm
A16	C1	h2-0	LAT	env-0.0	LAT	1.01539970007993	0.355931290060791	0.34	0.355931290060791	0.373	0.313612704090069	0.299	nc-Tm
A16	C1	h2-0	LAT	env-0.0	LAT	0.111149042550038	0.620222950796229	0.636	0.620222950796229	0.615	0.738839740368618	0.737	c-ID
A16	C1	h2-0	LAT	env-0.0	LAT	0.111149042550038	0.620222950796229	0.622	0.620222950796229	0.596	0.738839740368618	0.727	c.p-ID
A16	C1	h2-0	LAT	env-0.0	LAT	1.00756109325031	0.948839437983593	0.947	0.948839437983593	0.948	0.315487835365665	0.335	nc-ID
A17	C1	h2-0	LAT	env-0.0	LAT	2.40634917648739	0.515633389425841	0.517	0.515633389425841	0.518	0.12084389861535	0.095	c
A17	C1	h2-0	LAT	env-0.0	LAT	2.40634917648739	0.515633389425841	0.464	0.515633389425841	0.488	0.12084389861535	0.099	c.p
A17	C1	h2-0	LAT	env-0.0	LAT	0.966689364127437	0.868910074894175	0.873	0.868910074894175	0.886	0.325507232069375	0.281	nc
A17	C1	h2-0	LAT	env-0.0	LAT	2.44053164825419	0.61150119699485	0.63	0.61150119699485	0.581	0.118236146502522	0.111	c-Tm
A17	C1	h2-0	LAT	env-0.0	LAT	2.44053164825419	0.61150119699485	0.58	0.61150119699485	0.612	0.118236146502522	0.099	c.p-Tm
A17	C1	h2-0	LAT	env-0.0	LAT	1.32467953021179	0.896608268523871	0.887	0.896608268523871	0.902	0.249753945014268	0.227	nc-Tm
A17	C1	h2-0	LAT	env-0.0	LAT	2.37244271902681	0.473219635097764	0.463	0.473219635097764	0.453	0.123493679550923	0.107	c-ID
A17	C1	h2-0	LAT	env-0.0	LAT	2.37244271902681	0.473219635097764	0.445	0.473219635097764	0.44	0.123493679550923	0.096	c.p-ID
A17	C1	h2-0	LAT	env-0.0	LAT	1.17839838241007	0.874871317342474	0.883	0.874871317342474	0.876	0.277682294383855	0.301	nc-ID
A18	C1	h2-0	LAT	env-0.0	LAT	0.859778807949946	0.989808906062914	0.991	0.989808906062914	0.994	0.353800597996575	0.259	c
A18	C1	h2-0	LAT	env-0.0	LAT	0.859778807949946	0.989808906062914	0.984	0.989808906062914	0.983	0.353800597996575	0.277	c.p
A18	C1	h2-0	LAT	env-0.0	LAT	0.0150142439187775	0.913426525218325	0.911	0.913426525218325	0.911	0.902477210517904	0.899	nc
A18	C1	h2-0	LAT	env-0.0	LAT	0.861479903243996	0.938537635091102	0.916	0.938537635091102	0.93	0.35332488234802	0.306	c-Tm
A18	C1	h2-0	LAT	env-0.0	LAT	0.861479903243996	0.938537635091102	0.939	0.938537635091102	0.922	0.35332488234802	0.274	c.p-Tm
A18	C1	h2-0	LAT	env-0.0	LAT	0.0704343428021739	0.684697458059448	0.682	0.684697458059448	0.652	0.7907054243961	0.777	nc-Tm
A18	C1	h2-0	LAT	env-0.0	LAT	0.864564845890497	0.978355485697014	0.98	0.978355485697014	0.981	0.352464396917898	0.288	c-ID
A18	C1	h2-0	LAT	env-0.0	LAT	0.864564845890497	0.978355485697014	0.981	0.978355485697014	0.975	0.352464396917898	0.28	c.p-ID
A18	C1	h2-0	LAT	env-0.0	LAT	0.0154497218984542	0.913778721066055	0.915	0.913778721066055	0.899	0.901080193592487	0.881	nc-ID
A19	C1	h2-0	LAT	env-0.0	LAT	0.661609265894363	0.417906714847233	0.372	0.417906714847233	0.402	0.415992386180283	0.394	c
A19	C1	h2-0	LAT	env-0.0	LAT	0.661609265894363	0.417906714847233	0.373	0.417906714847233	0.378	0.415992386180283	0.398	c.p
A19	C1	h2-0	LAT	env-0.0	LAT	0.0393590390225851	0.616850788311452	0.655	0.616850788311452	0.617	0.842739059597973	0.842	nc
A19	C1	h2-0	LAT	env-0.0	LAT	0.632575011838164	0.279389579225923	0.228	0.279389579225923	0.247	0.426412352944849	0.387	c-Tm
A19	C1	h2-0	LAT	env-0.0	LAT	0.632575011838164	0.279389579225923	0.254	0.279389579225923	0.249	0.426412352944849	0.384	c.p-Tm
A19	C1	h2-0	LAT	env-0.0	LAT	0.0317952918565482	0.289729296560693	0.319	0.289729296560693	0.32	0.858477685421144	0.876	nc-Tm
A19	C1	h2-0	LAT	env-0.0	LAT	0.664203148735246	0.443104381269104	0.408	0.443104381269104	0.384	0.41507998370393	0.385	c-ID
A19	C1	h2-0	LAT	env-0.0	LAT	0.664203148735246	0.443104381269104	0.38	0.443104381269104	0.428	0.41507998370393	0.384	c.p-ID
A19	C1	h2-0	LAT	env-0.0	LAT	0.0783393543026191	0.839286020913649	0.834	0.839286020913649	0.85	0.779560608190526	0.787	nc-ID
A20	C1	h2-0	LAT	env-0.0	LAT	0.00379411841089991	0.227946926867097	0.279	0.227946926867097	0.263	0.950884231485989	0.946	c
A20	C1	h2-0	LAT	env-0.0	LAT	0.00379411841089991	0.227946926867097	0.269	0.227946926867097	0.267	0.950884231485989	0.957	c.p
A20	C1	h2-0	LAT	env-0.0	LAT	0.91458589479294	0.999586045044999	1	0.999586045044999	1	0.338900566700694	0.343	nc
A20	C1	h2-0	LAT	env-0.0	LAT	0.0056226397001229	0.161648891432589	0.214	0.161648891432589	0.199	0.940227232932824	0.944	c-Tm
A20	C1	h2-0	LAT	env-0.0	LAT	0.0056226397001229	0.161648891432589	0.195	0.161648891432589	0.199	0.940227232932824	0.938	c.p-Tm
A20	C1	h2-0	LAT	env-0.0	LAT	1.30490469557736	0.515029612388137	0.525	0.515029612388137	0.51	0.253319264326355	0.256	nc-Tm
A20	C1	h2-0	LAT	env-0.0	LAT	0.00350475823973109	0.210549797441024	0.263	0.210549797441024	0.23	0.952792014241451	0.96	c-ID
A20	C1	h2-0	LAT	env-0.0	LAT	0.00350475823973109	0.210549797441024	0.261	0.210549797441024	0.246	0.952792014241451	0.954	c.p-ID
A20	C1	h2-0	LAT	env-0.0	LAT	1.07276339273694	0.924459407137719	0.919	0.924459407137719	0.916	0.300322094062256	0.366	nc-ID
A21	C1	h2-0	LAT	env-0.0	LAT	0.0600585088855071	0.543768000614488	0.514	0.543768000614488	0.511	0.806403488734582	0.789	c
A21	C1	h2-0	LAT	env-0.0	LAT	0.0600585088855071	0.543768000614488	0.5	0.543768000614488	0.506	0.806403488734582	0.796	c.p
A21	C1	h2-0	LAT	env-0.0	LAT	8.41766393584462	0.880831744659784	0.873	0.880831744659784	0.882	0.00371592930101327	0.004	nc
