rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
C16	C1	h2-0.0	p-0.50	env_0.0	0.999247347025075	0.317492696410946	0.34	c.p-ID
C16	C1	h2-0.0	p-0.50	env_0.0	2.8838200851362	0.0894735289705715	0.078	nc-ID
C16	C1	h2-0.0	p-0.50	env_0.0			1	True
C17	C1	h2-0.0	p-0.50	env_0.0	0.2695648726695	0.603623808783745	0.618	c
C17	C1	h2-0.0	p-0.50	env_0.0	0.2695648726695	0.603623808783745	0.64	c.p
C17	C1	h2-0.0	p-0.50	env_0.0	1.3121906343985	0.251998411817367	0.282	nc
C17	C1	h2-0.0	p-0.50	env_0.0	0.00149446786821173	0.969162782067159	0.982	c-Tm
C17	C1	h2-0.0	p-0.50	env_0.0	0.00149446786821173	0.969162782067159	0.963	c.p-Tm
C17	C1	h2-0.0	p-0.50	env_0.0	0.114246927681239	0.735359924106952	0.743	nc-Tm
C17	C1	h2-0.0	p-0.50	env_0.0	0.358079364007346	0.549574847201615	0.58	c-ID
C17	C1	h2-0.0	p-0.50	env_0.0	0.358079364007346	0.549574847201615	0.531	c.p-ID
C17	C1	h2-0.0	p-0.50	env_0.0	1.7636667204959	0.184167818377221	0.218	nc-ID
C17	C1	h2-0.0	p-0.50	env_0.0			1	True
C18	C1	h2-0.0	p-0.50	env_0.0	0.816721000647188	0.366140615758938	0.343	c
C18	C1	h2-0.0	p-0.50	env_0.0	0.816721000647188	0.366140615758938	0.351	c.p
C18	C1	h2-0.0	p-0.50	env_0.0	2.21897797666068	0.136323276659249	0.112	nc
C18	C1	h2-0.0	p-0.50	env_0.0	0.18666186748604	0.665709560795745	0.657	c-Tm
C18	C1	h2-0.0	p-0.50	env_0.0	0.18666186748604	0.665709560795745	0.661	c.p-Tm
C18	C1	h2-0.0	p-0.50	env_0.0	0.136806098234538	0.711477057337386	0.68	nc-Tm
C18	C1	h2-0.0	p-0.50	env_0.0	0.782859020647002	0.376268173434584	0.367	c-ID
C18	C1	h2-0.0	p-0.50	env_0.0	0.782859020647002	0.376268173434584	0.367	c.p-ID
C18	C1	h2-0.0	p-0.50	env_0.0	2.23183510744648	0.135193193430828	0.126	nc-ID
C18	C1	h2-0.0	p-0.50	env_0.0			1	True
C19	C1	h2-0.0	p-0.50	env_0.0	1.8878157735289	0.169448486568459	0.197	c
C19	C1	h2-0.0	p-0.50	env_0.0	1.8878157735289	0.169448486568459	0.192	c.p
C19	C1	h2-0.0	p-0.50	env_0.0	0.0300595712595151	0.862355131830453	0.875	nc
C19	C1	h2-0.0	p-0.50	env_0.0	1.74297120322288	0.186762795601634	0.215	c-Tm
C19	C1	h2-0.0	p-0.50	env_0.0	1.74297120322288	0.186762795601634	0.217	c.p-Tm
C19	C1	h2-0.0	p-0.50	env_0.0	0.00425622064201226	0.94798313907243	0.943	nc-Tm
C19	C1	h2-0.0	p-0.50	env_0.0	2.10427558546961	0.146887892454916	0.147	c-ID
C19	C1	h2-0.0	p-0.50	env_0.0	2.10427558546961	0.146887892454916	0.173	c.p-ID
C19	C1	h2-0.0	p-0.50	env_0.0	0.0123301010788536	0.911583843741785	0.92	nc-ID
C19	C1	h2-0.0	p-0.50	env_0.0			1	True
C20	C1	h2-0.0	p-0.50	env_0.0	0.306418559645656	0.579886261014341	0.526	c
C20	C1	h2-0.0	p-0.50	env_0.0	0.306418559645656	0.579886261014341	0.536	c.p
C20	C1	h2-0.0	p-0.50	env_0.0	0.245013165122117	0.620608559075423	0.601	nc
C20	C1	h2-0.0	p-0.50	env_0.0	0.548044848334271	0.459117670255377	0.419	c-Tm
C20	C1	h2-0.0	p-0.50	env_0.0	0.548044848334271	0.459117670255377	0.415	c.p-Tm
C20	C1	h2-0.0	p-0.50	env_0.0	0.0914936096991922	0.762286858772369	0.751	nc-Tm
C20	C1	h2-0.0	p-0.50	env_0.0	0.232375003749426	0.629768363633358	0.578	c-ID
C20	C1	h2-0.0	p-0.50	env_0.0	0.232375003749426	0.629768363633358	0.589	c.p-ID
C20	C1	h2-0.0	p-0.50	env_0.0	0.374186421968562	0.540731106058169	0.553	nc-ID
C20	C1	h2-0.0	p-0.50	env_0.0			1	True
C21	C1	h2-0.0	p-0.50	env_0.0	0.511044257344702	0.474687154172121	0.496	c
C21	C1	h2-0.0	p-0.50	env_0.0	0.511044257344702	0.474687154172121	0.435	c.p
C21	C1	h2-0.0	p-0.50	env_0.0	0.490516580471626	0.483696960202695	0.449	nc
C21	C1	h2-0.0	p-0.50	env_0.0	0.096573226329104	0.755981308280553	0.756	c-Tm
C21	C1	h2-0.0	p-0.50	env_0.0	0.096573226329104	0.755981308280553	0.794	c.p-Tm
C21	C1	h2-0.0	p-0.50	env_0.0	0.0216426177271034	0.883041801679273	0.892	nc-Tm
C21	C1	h2-0.0	p-0.50	env_0.0	0.426036402889608	0.513940261726213	0.552	c-ID
C21	C1	h2-0.0	p-0.50	env_0.0	0.426036402889608	0.513940261726213	0.522	c.p-ID
C21	C1	h2-0.0	p-0.50	env_0.0	0.613859897976164	0.433338180821433	0.397	nc-ID
C21	C1	h2-0.0	p-0.50	env_0.0			1	True
C22	C1	h2-0.0	p-0.50	env_0.0	4.19852432581193	0.040459172303381	0.033	c
C22	C1	h2-0.0	p-0.50	env_0.0	4.19852432581193	0.040459172303381	0.032	c.p
C22	C1	h2-0.0	p-0.50	env_0.0	0.738234629724671	0.390226976650257	0.454	nc
C22	C1	h2-0.0	p-0.50	env_0.0	3.74254404467857	0.0530436252941309	0.04	c-Tm
C22	C1	h2-0.0	p-0.50	env_0.0	3.74254404467857	0.0530436252941309	0.04	c.p-Tm
C22	C1	h2-0.0	p-0.50	env_0.0	1.29396030355712	0.255319397904777	0.307	nc-Tm
C22	C1	h2-0.0	p-0.50	env_0.0	3.86810302483397	0.0492121138755166	0.028	c-ID
C22	C1	h2-0.0	p-0.50	env_0.0	3.86810302483397	0.0492121138755166	0.031	c.p-ID
C22	C1	h2-0.0	p-0.50	env_0.0	1.2443082697417	0.264642357814946	0.306	nc-ID
C22	C1	h2-0.0	p-0.50	env_0.0			1	True
C23	C1	h2-0.0	p-0.50	env_0.0	0.116777503347111	0.732556173878114	0.748	c
C23	C1	h2-0.0	p-0.50	env_0.0	0.116777503347111	0.732556173878114	0.758	c.p
C23	C1	h2-0.0	p-0.50	env_0.0	0.743363851320845	0.388585442797065	0.388	nc
C23	C1	h2-0.0	p-0.50	env_0.0	0.244491728668755	0.620980608543693	0.609	c-Tm
C23	C1	h2-0.0	p-0.50	env_0.0	0.244491728668755	0.620980608543693	0.609	c.p-Tm
C23	C1	h2-0.0	p-0.50	env_0.0	0.139302802842062	0.708975106594247	0.699	nc-Tm
C23	C1	h2-0.0	p-0.50	env_0.0	0.319619000640822	0.571836701602928	0.566	c-ID
C23	C1	h2-0.0	p-0.50	env_0.0	0.319619000640822	0.571836701602928	0.544	c.p-ID
C23	C1	h2-0.0	p-0.50	env_0.0	0.14868090358014	0.699799134531943	0.676	nc-ID
C23	C1	h2-0.0	p-0.50	env_0.0			1	True
C24	C1	h2-0.0	p-0.50	env_0.0	0.734789298028635	0.391335181784896	0.342	c
C24	C1	h2-0.0	p-0.50	env_0.0	0.734789298028635	0.391335181784896	0.342	c.p
C24	C1	h2-0.0	p-0.50	env_0.0	0.0880659921870794	0.766650395997546	0.763	nc
C24	C1	h2-0.0	p-0.50	env_0.0	0.244433336534072	0.621022302576259	0.582	c-Tm
C24	C1	h2-0.0	p-0.50	env_0.0	0.244433336534072	0.621022302576259	0.599	c.p-Tm
C24	C1	h2-0.0	p-0.50	env_0.0	0.0260270671779352	0.871834232614483	0.867	nc-Tm
C24	C1	h2-0.0	p-0.50	env_0.0	0.529243384839958	0.466925129973869	0.421	c-ID
C24	C1	h2-0.0	p-0.50	env_0.0	0.529243384839958	0.466925129973869	0.431	c.p-ID
C24	C1	h2-0.0	p-0.50	env_0.0	0.0111653203894458	0.915847294153283	0.907	nc-ID
C24	C1	h2-0.0	p-0.50	env_0.0			1	True
C25	C1	h2-0.0	p-0.50	env_0.0	0.170188584603426	0.679944260955212	0.701	c
