rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A15	C1	h2-0.3	p-0.50	env_0.0	0.760503728739452	0.383170928000441	0.362	nc-Tm
A15	C1	h2-0.3	p-0.50	env_0.0	0.49456334182462	0.481898733173976	0.484	c-ID
A15	C1	h2-0.3	p-0.50	env_0.0	0.49456334182462	0.481898733173976	0.463	c.p-ID
A15	C1	h2-0.3	p-0.50	env_0.0	0.877861578644987	0.348788045388236	0.327	nc-ID
A15	C1	h2-0.3	p-0.50	env_0.0	0.724633193410471	0.394628330193114	0.398	True
A16	C1	h2-0.3	p-0.50	env_0.0	2.42951863030157	0.11906945723389	0.143	c
A16	C1	h2-0.3	p-0.50	env_0.0	2.42951863030157	0.11906945723389	0.132	c.p
A16	C1	h2-0.3	p-0.50	env_0.0	3.86633668070084	0.0492639377474896	0.058	nc
A16	C1	h2-0.3	p-0.50	env_0.0	1.58346185607303	0.208262744968884	0.228	c-Tm
A16	C1	h2-0.3	p-0.50	env_0.0	1.58346185607303	0.208262744968884	0.231	c.p-Tm
A16	C1	h2-0.3	p-0.50	env_0.0	1.59709146663956	0.206315879800885	0.223	nc-Tm
A16	C1	h2-0.3	p-0.50	env_0.0	1.77469613882479	0.182801961094531	0.212	c-ID
A16	C1	h2-0.3	p-0.50	env_0.0	1.77469613882479	0.182801961094531	0.226	c.p-ID
A16	C1	h2-0.3	p-0.50	env_0.0	2.13201483436104	0.144251035289357	0.188	nc-ID
A16	C1	h2-0.3	p-0.50	env_0.0	2.2939424137814	0.129879650382109	0.151	True
A17	C1	h2-0.3	p-0.50	env_0.0	0.276446637466063	0.599039731281816	0.599	c
A17	C1	h2-0.3	p-0.50	env_0.0	0.276446637466063	0.599039731281816	0.625	c.p
A17	C1	h2-0.3	p-0.50	env_0.0	1.81850814083437	0.177490959491866	0.181	nc
A17	C1	h2-0.3	p-0.50	env_0.0	0.108843191736613	0.741465008497182	0.705	c-Tm
A17	C1	h2-0.3	p-0.50	env_0.0	0.108843191736613	0.741465008497182	0.74	c.p-Tm
A17	C1	h2-0.3	p-0.50	env_0.0	0.332269195730596	0.564325948621745	0.569	nc-Tm
A17	C1	h2-0.3	p-0.50	env_0.0	0.121869301401893	0.727015858650469	0.744	c-ID
A17	C1	h2-0.3	p-0.50	env_0.0	0.121869301401893	0.727015858650469	0.733	c.p-ID
A17	C1	h2-0.3	p-0.50	env_0.0	0.352218951397875	0.552859715271095	0.568	nc-ID
A17	C1	h2-0.3	p-0.50	env_0.0	0.00143998295787577	0.96972985382442	0.976	True
A18	C1	h2-0.3	p-0.50	env_0.0	2.46532856810481	0.116383363112762	0.136	c
A18	C1	h2-0.3	p-0.50	env_0.0	2.46532856810481	0.116383363112762	0.124	c.p
A18	C1	h2-0.3	p-0.50	env_0.0	3.74821799514944	0.05286384226092	0.068	nc
A18	C1	h2-0.3	p-0.50	env_0.0	1.96269665632512	0.161225209340534	0.179	c-Tm
A18	C1	h2-0.3	p-0.50	env_0.0	1.96269665632512	0.161225209340534	0.194	c.p-Tm
A18	C1	h2-0.3	p-0.50	env_0.0	1.96525060448724	0.160952887204408	0.178	nc-Tm
A18	C1	h2-0.3	p-0.50	env_0.0	1.69803933362991	0.192544589243884	0.237	c-ID
A18	C1	h2-0.3	p-0.50	env_0.0	1.69803933362991	0.192544589243884	0.203	c.p-ID
A18	C1	h2-0.3	p-0.50	env_0.0	0.784000142132629	0.375920539276535	0.385	nc-ID
A18	C1	h2-0.3	p-0.50	env_0.0	1.66087606660502	0.19748508061681	0.212	True
A19	C1	h2-0.3	p-0.50	env_0.0	1.1945758632121	0.274408489878231	0.257	c
A19	C1	h2-0.3	p-0.50	env_0.0	1.1945758632121	0.274408489878231	0.247	c.p
A19	C1	h2-0.3	p-0.50	env_0.0	4.29621413672007	0.0381973134627201	0.034	nc
A19	C1	h2-0.3	p-0.50	env_0.0	0.718740474174802	0.396557367453603	0.374	c-Tm
A19	C1	h2-0.3	p-0.50	env_0.0	0.718740474174802	0.396557367453603	0.354	c.p-Tm
A19	C1	h2-0.3	p-0.50	env_0.0	1.57914421442277	0.208884005564957	0.205	nc-Tm
A19	C1	h2-0.3	p-0.50	env_0.0	0.557995663872115	0.455068949151959	0.453	c-ID
A19	C1	h2-0.3	p-0.50	env_0.0	0.557995663872115	0.455068949151959	0.397	c.p-ID
A19	C1	h2-0.3	p-0.50	env_0.0	0.739928228000492	0.389683870213394	0.384	nc-ID
A19	C1	h2-0.3	p-0.50	env_0.0	0.40803207532681	0.522970039885235	0.499	True
A20	C1	h2-0.3	p-0.50	env_0.0	0.115528597373573	0.7339356172669	0.73	c
A20	C1	h2-0.3	p-0.50	env_0.0	0.115528597373573	0.7339356172669	0.729	c.p
A20	C1	h2-0.3	p-0.50	env_0.0	13.4343371156893	0.000247060267849088	0	nc
A20	C1	h2-0.3	p-0.50	env_0.0	0.396082614240519	0.529119324444337	0.513	c-Tm
A20	C1	h2-0.3	p-0.50	env_0.0	0.396082614240519	0.529119324444337	0.53	c.p-Tm
A20	C1	h2-0.3	p-0.50	env_0.0	0.19705206112382	0.657110933839337	0.634	nc-Tm
A20	C1	h2-0.3	p-0.50	env_0.0	0.502107449861327	0.478575587785299	0.458	c-ID
A20	C1	h2-0.3	p-0.50	env_0.0	0.502107449861327	0.478575587785299	0.472	c.p-ID
A20	C1	h2-0.3	p-0.50	env_0.0	1.11909749927449	0.29011286869556	0.289	nc-ID
A20	C1	h2-0.3	p-0.50	env_0.0	0.381953112138084	0.536559812940349	0.549	True
A21	C1	h2-0.3	p-0.50	env_0.0	4.53235592480844	0.033259800036787	0.012	c
A21	C1	h2-0.3	p-0.50	env_0.0	4.53235592480844	0.033259800036787	0.01	c.p
A21	C1	h2-0.3	p-0.50	env_0.0	13.3226104892617	0.000262224856998967	0	nc
A21	C1	h2-0.3	p-0.50	env_0.0	2.54810738922044	0.110426464525388	0.046	c-Tm
A21	C1	h2-0.3	p-0.50	env_0.0	2.54810738922044	0.110426464525388	0.075	c.p-Tm
A21	C1	h2-0.3	p-0.50	env_0.0	1.71722345495334	0.190050839922438	0.138	nc-Tm
A21	C1	h2-0.3	p-0.50	env_0.0	2.48341934111286	0.115051883724372	0.072	c-ID
A21	C1	h2-0.3	p-0.50	env_0.0	2.48341934111286	0.115051883724372	0.067	c.p-ID
A21	C1	h2-0.3	p-0.50	env_0.0	1.24615454019065	0.26428821220885	0.188	nc-ID
A21	C1	h2-0.3	p-0.50	env_0.0	2.56355088088842	0.109352720329103	0.045	True
A22	C1	h2-0.3	p-0.50	env_0.0	3.00171575653961	0.0831763884365709	0.062	c
A22	C1	h2-0.3	p-0.50	env_0.0	3.00171575653961	0.0831763884365709	0.073	c.p
A22	C1	h2-0.3	p-0.50	env_0.0	43.4013341123796	4.45884036700046e-11	0	nc
A22	C1	h2-0.3	p-0.50	env_0.0	0.124026464689363	0.724707840039043	0.694	c-Tm
A22	C1	h2-0.3	p-0.50	env_0.0	0.124026464689363	0.724707840039043	0.689	c.p-Tm
A22	C1	h2-0.3	p-0.50	env_0.0	1.34512098763895	0.246132886767351	0.219	nc-Tm
A22	C1	h2-0.3	p-0.50	env_0.0	0.0596306549465375	0.807080660462874	0.798	c-ID
A22	C1	h2-0.3	p-0.50	env_0.0	0.0596306549465375	0.807080660462874	0.758	c.p-ID
A22	C1	h2-0.3	p-0.50	env_0.0	0.705079689284818	0.401082091008143	0.409	nc-ID
A22	C1	h2-0.3	p-0.50	env_0.0	0.215585586018147	0.642424264253535	0.556	True
A23	C1	h2-0.3	p-0.50	env_0.0	3.61942592393284	0.0571085761746488	0.051	c
A23	C1	h2-0.3	p-0.50	env_0.0	3.61942592393284	0.0571085761746488	0.051	c.p
A23	C1	h2-0.3	p-0.50	env_0.0	14.9056680530398	0.000113022890218811	0	nc
A23	C1	h2-0.3	p-0.50	env_0.0	1.29725784903835	0.25471471715076	0.24	c-Tm
A23	C1	h2-0.3	p-0.50	env_0.0	1.29725784903835	0.25471471715076	0.237	c.p-Tm
A23	C1	h2-0.3	p-0.50	env_0.0	1.34257114999311	0.246581049240315	0.244	nc-Tm
A23	C1	h2-0.3	p-0.50	env_0.0	1.34026837493411	0.246986645304532	0.258	c-ID
A23	C1	h2-0.3	p-0.50	env_0.0	1.34026837493411	0.246986645304532	0.254	c.p-ID
A23	C1	h2-0.3	p-0.50	env_0.0	1.70235609816631	0.191980138903024	0.184	nc-ID
A23	C1	h2-0.3	p-0.50	env_0.0	1.05042112513346	0.305410117906362	0.303	True
A24	C1	h2-0.3	p-0.50	env_0.0	2.72009109011813	0.0990923602883115	0.112	c
A24	C1	h2-0.3	p-0.50	env_0.0	2.72009109011813	0.0990923602883115	0.107	c.p
A24	C1	h2-0.3	p-0.50	env_0.0	26.7410220122712	2.32630056673144e-07	0	nc
A24	C1	h2-0.3	p-0.50	env_0.0	0.140779877371118	0.707506936356334	0.703	c-Tm
A24	C1	h2-0.3	p-0.50	env_0.0	0.140779877371118	0.707506936356334	0.695	c.p-Tm
A24	C1	h2-0.3	p-0.50	env_0.0	7.78889785450984e-05	0.992958382542165	0.994	nc-Tm
A24	C1	h2-0.3	p-0.50	env_0.0	0.0652229463881087	0.79842356542654	0.787	c-ID
A24	C1	h2-0.3	p-0.50	env_0.0	0.0652229463881087	0.79842356542654	0.782	c.p-ID
A24	C1	h2-0.3	p-0.50	env_0.0	0.138826763192106	0.70945016526869	0.701	nc-ID
A24	C1	h2-0.3	p-0.50	env_0.0	0.254405168965472	0.613990201537899	0.577	True
A25	C1	h2-0.3	p-0.50	env_0.0	0.0282550947881223	0.86651049495158	0.845	c
A25	C1	h2-0.3	p-0.50	env_0.0	0.0282550947881223	0.86651049495158	0.873	c.p
A25	C1	h2-0.3	p-0.50	env_0.0	0.116642503757848	0.732704885611647	0.698	nc
A25	C1	h2-0.3	p-0.50	env_0.0	0.0573302840631643	0.810766407075495	0.82	c-Tm
A25	C1	h2-0.3	p-0.50	env_0.0	0.0573302840631643	0.810766407075495	0.814	c.p-Tm
A25	C1	h2-0.3	p-0.50	env_0.0	0.0498204781776198	0.82337594993977	0.823	nc-Tm
A25	C1	h2-0.3	p-0.50	env_0.0	0.115720162899306	0.733723490614644	0.693	c-ID
A25	C1	h2-0.3	p-0.50	env_0.0	0.115720162899306	0.733723490614644	0.729	c.p-ID
A25	C1	h2-0.3	p-0.50	env_0.0	0.000387687150203274	0.984290849377984	0.986	nc-ID
A25	C1	h2-0.3	p-0.50	env_0.0	0.386243329231087	0.534280706920707	0.521	True
A26	C1	h2-0.3	p-0.50	env_0.0	0.03402609918571	0.853651312159989	0.873	c
A26	C1	h2-0.3	p-0.50	env_0.0	0.03402609918571	0.853651312159989	0.891	c.p
A26	C1	h2-0.3	p-0.50	env_0.0	2.13958228058473	0.143540971815412	0.191	nc
A26	C1	h2-0.3	p-0.50	env_0.0	0.641130536527652	0.423301709810816	0.503	c-Tm
A26	C1	h2-0.3	p-0.50	env_0.0	0.641130536527652	0.423301709810816	0.479	c.p-Tm
A26	C1	h2-0.3	p-0.50	env_0.0	0.214413156892741	0.64333018877788	0.721	nc-Tm
A26	C1	h2-0.3	p-0.50	env_0.0	0.894225765853549	0.344334728727375	0.417	c-ID
A26	C1	h2-0.3	p-0.50	env_0.0	0.894225765853549	0.344334728727375	0.415	c.p-ID
A26	C1	h2-0.3	p-0.50	env_0.0	0.436271586121407	0.508927513392035	0.567	nc-ID
A26	C1	h2-0.3	p-0.50	env_0.0	0.661199841888882	0.416136673316072	0.478	True
A27	C1	h2-0.3	p-0.50	env_0.0	0.293060719128451	0.588265792681644	0.577	c
A27	C1	h2-0.3	p-0.50	env_0.0	0.293060719128451	0.588265792681644	0.572	c.p
A27	C1	h2-0.3	p-0.50	env_0.0	0.0236264456636648	0.877839216406292	0.862	nc
A27	C1	h2-0.3	p-0.50	env_0.0	0.348059544529031	0.555213635505336	0.531	c-Tm
A27	C1	h2-0.3	p-0.50	env_0.0	0.348059544529031	0.555213635505336	0.527	c.p-Tm
A27	C1	h2-0.3	p-0.50	env_0.0	0.000438590863192402	0.983291475253854	0.986	nc-Tm
A27	C1	h2-0.3	p-0.50	env_0.0	0.500250554629307	0.479390051348361	0.452	c-ID
A27	C1	h2-0.3	p-0.50	env_0.0	0.500250554629307	0.479390051348361	0.469	c.p-ID
A27	C1	h2-0.3	p-0.50	env_0.0	0.0824045987223607	0.774064838606305	0.771	nc-ID
A27	C1	h2-0.3	p-0.50	env_0.0	0.771610822847296	0.379719192247361	0.365	True
A28	C1	h2-0.3	p-0.50	env_0.0	0.938449925728069	0.332676800156449	0.389	c
A28	C1	h2-0.3	p-0.50	env_0.0	0.938449925728069	0.332676800156449	0.348	c.p
A28	C1	h2-0.3	p-0.50	env_0.0	2.97335888391319	0.0846459356312517	0.116	nc
A28	C1	h2-0.3	p-0.50	env_0.0	0.578325508081096	0.446969417782034	0.463	c-Tm
A28	C1	h2-0.3	p-0.50	env_0.0	0.578325508081096	0.446969417782034	0.464	c.p-Tm
A28	C1	h2-0.3	p-0.50	env_0.0	0.747640683784527	0.387224233802039	0.433	nc-Tm
