#FID,IID,V2
tsk_299,tsk_299,-0.0241818
tsk_0,tsk_0,-0.128428
tsk_1,tsk_1,-0.0430726
tsk_2,tsk_2,-0.111414
tsk_3,tsk_3,0.0841062
tsk_4,tsk_4,-0.186108
tsk_5,tsk_5,-0.0917891
tsk_6,tsk_6,-0.0241818
tsk_7,tsk_7,-0.306618
tsk_8,tsk_8,-0.504624
tsk_9,tsk_9,-0.306618
tsk_10,tsk_10,-0.166421
tsk_11,tsk_11,-0.0884564
tsk_12,tsk_12,-0.0793438
tsk_13,tsk_13,-0.0793438
tsk_14,tsk_14,-0.00241229
tsk_15,tsk_15,0.0877366
tsk_16,tsk_16,0.150964
tsk_17,tsk_17,-0.18627
tsk_18,tsk_18,-0.123944
tsk_19,tsk_19,0.208213
tsk_20,tsk_20,-0.267625
tsk_21,tsk_21,-0.890764
tsk_22,tsk_22,0.0393262
tsk_23,tsk_23,0.208213
tsk_24,tsk_24,-0.323587
tsk_25,tsk_25,-0.222878
tsk_26,tsk_26,0.0393262
tsk_27,tsk_27,0.11792
tsk_28,tsk_28,0.0100143
tsk_29,tsk_29,0.0689781
tsk_30,tsk_30,-0.216821
tsk_31,tsk_31,0.0100143
tsk_32,tsk_32,0.0689781
tsk_33,tsk_33,-0.0050871
tsk_34,tsk_34,-0.0144876
tsk_35,tsk_35,0.0566307
tsk_36,tsk_36,0.0379141
tsk_37,tsk_37,0.141342
tsk_38,tsk_38,0.052268
tsk_39,tsk_39,0.147829
tsk_40,tsk_40,0.147829
tsk_41,tsk_41,0.1127
tsk_42,tsk_42,0.150005
tsk_43,tsk_43,0.0807374
tsk_44,tsk_44,0.152969
tsk_45,tsk_45,0.152969
tsk_46,tsk_46,0.152969
tsk_47,tsk_47,0.0460634
tsk_48,tsk_48,0.0460634
tsk_49,tsk_49,0.0252658
tsk_50,tsk_50,-0.130273
tsk_51,tsk_51,-0.130273
tsk_52,tsk_52,-0.215315
tsk_53,tsk_53,-0.0412648
tsk_54,tsk_54,0.128623
tsk_55,tsk_55,-0.174028
tsk_56,tsk_56,-0.274214
tsk_57,tsk_57,-0.226623
tsk_58,tsk_58,-0.14055
tsk_59,tsk_59,-0.0604642
tsk_60,tsk_60,-0.0814208
tsk_61,tsk_61,0.203022
tsk_62,tsk_62,0.203022
tsk_63,tsk_63,0.239096
tsk_64,tsk_64,-0.267516
tsk_65,tsk_65,0.239096
tsk_66,tsk_66,0.0471516
tsk_67,tsk_67,-0.0757361
tsk_68,tsk_68,-0.472734
tsk_69,tsk_69,0.225758
tsk_70,tsk_70,-0.419761
tsk_71,tsk_71,-0.419761
tsk_72,tsk_72,-0.116685
tsk_73,tsk_73,0.237817
tsk_74,tsk_74,-0.0757361
tsk_75,tsk_75,0.102858
tsk_76,tsk_76,-0.327017
tsk_77,tsk_77,-0.113592
tsk_78,tsk_78,-0.0399207
tsk_79,tsk_79,-0.472209
tsk_80,tsk_80,-0.406026
tsk_81,tsk_81,-0.0167868
tsk_82,tsk_82,-0.0176088
tsk_83,tsk_83,0.186745
tsk_84,tsk_84,0.0469296
tsk_85,tsk_85,-0.406026
tsk_86,tsk_86,0.0223028
tsk_87,tsk_87,0.0908236
tsk_88,tsk_88,0.0360433
tsk_89,tsk_89,-0.113592
tsk_90,tsk_90,-0.0859923
tsk_91,tsk_91,0.00694028
tsk_92,tsk_92,0.00694028
tsk_93,tsk_93,0.0699399
tsk_94,tsk_94,0.0119903
tsk_95,tsk_95,0.189076
tsk_96,tsk_96,-0.207648
tsk_97,tsk_97,-0.114796
tsk_98,tsk_98,-0.125227
tsk_99,tsk_99,0.0191123
tsk_200,tsk_200,0.0128884
tsk_201,tsk_201,0.439024
tsk_202,tsk_202,0.0836303
tsk_203,tsk_203,0.21003
tsk_204,tsk_204,-0.0141073
tsk_205,tsk_205,-0.172013
tsk_206,tsk_206,-0.0485524
tsk_207,tsk_207,-0.10522
tsk_208,tsk_208,-0.0161933
tsk_209,tsk_209,-0.00676984
tsk_210,tsk_210,0.20725
tsk_211,tsk_211,0.0366839
tsk_212,tsk_212,0.00991113
tsk_213,tsk_213,0.0395747
tsk_214,tsk_214,0.060158
tsk_215,tsk_215,-0.619011
tsk_216,tsk_216,0.0722943
tsk_217,tsk_217,0.0102581
tsk_218,tsk_218,0.0116186
tsk_219,tsk_219,0.0116186
tsk_220,tsk_220,0.0102581
tsk_221,tsk_221,0.101304
tsk_222,tsk_222,0.0102581
tsk_223,tsk_223,0.0205383
tsk_224,tsk_224,0.2161
tsk_225,tsk_225,-0.183735
tsk_226,tsk_226,0.0205383
tsk_227,tsk_227,0.0292847
tsk_228,tsk_228,0.379277
tsk_229,tsk_229,-0.183735
tsk_230,tsk_230,0.0235701
tsk_231,tsk_231,-0.203655
tsk_232,tsk_232,-0.0106442
tsk_233,tsk_233,-0.0530487
tsk_234,tsk_234,0.0992626
tsk_235,tsk_235,0.144207
tsk_236,tsk_236,0.0992626
tsk_237,tsk_237,0.0275093
tsk_238,tsk_238,0.0311041
tsk_239,tsk_239,0.162855
tsk_240,tsk_240,0.162855
tsk_241,tsk_241,0.00127581
tsk_242,tsk_242,0.135152
tsk_243,tsk_243,-0.0680378
tsk_244,tsk_244,0.162855
tsk_245,tsk_245,0.158021
tsk_246,tsk_246,0.0355843
tsk_247,tsk_247,0.156683
tsk_248,tsk_248,0.140004
tsk_249,tsk_249,-0.103048
tsk_250,tsk_250,0.114138
tsk_251,tsk_251,0.135152
tsk_252,tsk_252,0.123656
tsk_253,tsk_253,0.150649
tsk_254,tsk_254,0.0446731
tsk_255,tsk_255,0.170405
tsk_256,tsk_256,0.0446731
tsk_257,tsk_257,0.0446731
tsk_258,tsk_258,0.0446731
tsk_259,tsk_259,0.0446731
tsk_260,tsk_260,0.0210013
tsk_261,tsk_261,0.0210013
tsk_262,tsk_262,0.08859
tsk_263,tsk_263,0.182271
tsk_264,tsk_264,0.0891788
tsk_265,tsk_265,-0.0263377
tsk_266,tsk_266,0.126803
tsk_267,tsk_267,0.08859
tsk_268,tsk_268,0.133473
tsk_269,tsk_269,0.212798
tsk_270,tsk_270,0.0935804
tsk_271,tsk_271,-0.120674
tsk_272,tsk_272,-0.0632215
tsk_273,tsk_273,0.0295776
tsk_274,tsk_274,-0.0632215
tsk_275,tsk_275,-0.187561
tsk_276,tsk_276,0.316807
tsk_277,tsk_277,-0.24026
tsk_278,tsk_278,0.078975
tsk_279,tsk_279,-0.278835
tsk_280,tsk_280,0.223557
tsk_281,tsk_281,0.0277412
tsk_282,tsk_282,0.472773
tsk_283,tsk_283,0.275444
tsk_284,tsk_284,0.275444
tsk_285,tsk_285,-0.378227
tsk_286,tsk_286,0.192804
tsk_287,tsk_287,0.0261191
tsk_288,tsk_288,-0.187561
tsk_289,tsk_289,-0.0166355
tsk_290,tsk_290,-0.441048
tsk_291,tsk_291,-0.441048
tsk_292,tsk_292,-0.441048
tsk_293,tsk_293,-0.0403964
tsk_294,tsk_294,-0.936611
tsk_295,tsk_295,-0.122379
tsk_296,tsk_296,0.078051
tsk_297,tsk_297,-0.0652913
tsk_298,tsk_298,-0.0528571
tsk_299,tsk_299,0.278636
tsk_0,tsk_0,-0.150967
tsk_1,tsk_1,0.149709
tsk_2,tsk_2,-0.167432
tsk_3,tsk_3,-0.167432
tsk_4,tsk_4,-0.167432
tsk_5,tsk_5,-0.386653
tsk_6,tsk_6,0.345618
tsk_7,tsk_7,-0.0838007
tsk_8,tsk_8,-0.454077
tsk_9,tsk_9,0.0923926
tsk_10,tsk_10,-0.0814381
tsk_11,tsk_11,0.0104516
tsk_12,tsk_12,-0.145027
tsk_13,tsk_13,0.08997
tsk_14,tsk_14,-0.565157
tsk_15,tsk_15,0.08997
tsk_16,tsk_16,0.08997
tsk_17,tsk_17,0.107331
tsk_18,tsk_18,0.119611
tsk_19,tsk_19,-0.179163
tsk_20,tsk_20,0.112398
tsk_21,tsk_21,0.0501555
tsk_22,tsk_22,0.112398
tsk_23,tsk_23,-0.0757622
tsk_24,tsk_24,0.138967
tsk_25,tsk_25,-0.0900159
tsk_26,tsk_26,-0.245
tsk_27,tsk_27,-0.0857062
tsk_28,tsk_28,-0.0517315
tsk_29,tsk_29,0.122492
tsk_30,tsk_30,0.178549
tsk_31,tsk_31,-0.0655911
tsk_32,tsk_32,-0.115312
tsk_33,tsk_33,-0.0394434
tsk_34,tsk_34,-0.0655911
tsk_35,tsk_35,-0.0333995
tsk_36,tsk_36,0.114036
tsk_37,tsk_37,-0.140206
tsk_38,tsk_38,-0.255078
tsk_39,tsk_39,-0.255078
tsk_40,tsk_40,-0.473603
tsk_41,tsk_41,0.199352
tsk_42,tsk_42,-0.269533
tsk_43,tsk_43,0.055279
tsk_44,tsk_44,-0.0673773
tsk_45,tsk_45,0.128562
tsk_46,tsk_46,0.0439935
tsk_47,tsk_47,0.119135
tsk_48,tsk_48,0.140525
tsk_49,tsk_49,-0.122076
tsk_50,tsk_50,0.105898
tsk_51,tsk_51,-0.348114
tsk_52,tsk_52,0.0259456
tsk_53,tsk_53,-0.122076
tsk_54,tsk_54,-0.14591
tsk_55,tsk_55,-0.131135
tsk_56,tsk_56,-0.116889
tsk_57,tsk_57,-0.348114
tsk_58,tsk_58,-0.014247
tsk_59,tsk_59,-0.116889
tsk_60,tsk_60,0.0140045
tsk_61,tsk_61,-0.435733
tsk_62,tsk_62,-0.116889
tsk_63,tsk_63,0.0723588
tsk_64,tsk_64,-0.14591
tsk_65,tsk_65,0.053654
tsk_66,tsk_66,-0.0294077
tsk_67,tsk_67,0.0289125
tsk_68,tsk_68,-0.283056
tsk_69,tsk_69,0.193562
tsk_70,tsk_70,-0.283056
tsk_71,tsk_71,0.0406369
tsk_72,tsk_72,0.193562
tsk_73,tsk_73,-0.00343727
tsk_74,tsk_74,-0.0426978
tsk_75,tsk_75,-0.123929
tsk_76,tsk_76,0.046287
tsk_77,tsk_77,0.109961
tsk_78,tsk_78,-0.232717
tsk_79,tsk_79,0.115878
tsk_80,tsk_80,-0.0220132
tsk_81,tsk_81,-0.247645
tsk_82,tsk_82,-0.304465
tsk_83,tsk_83,0.00964646
tsk_84,tsk_84,0.103006
tsk_85,tsk_85,-0.00150465
tsk_86,tsk_86,0.0346487
tsk_87,tsk_87,-0.0216782
tsk_88,tsk_88,0.143098
tsk_89,tsk_89,-0.159708
tsk_90,tsk_90,-0.135469
tsk_91,tsk_91,-0.0513342
tsk_92,tsk_92,0.132395
tsk_93,tsk_93,-0.163056
tsk_94,tsk_94,-0.00226157
tsk_95,tsk_95,-0.209429
tsk_96,tsk_96,0.175353
tsk_97,tsk_97,0.219437
tsk_98,tsk_98,0.185937
tsk_99,tsk_99,0.156644
tsk_200,tsk_200,-0.212565
tsk_201,tsk_201,0.187549
tsk_202,tsk_202,0.0647155
tsk_203,tsk_203,-0.0835964
tsk_204,tsk_204,-0.232826
tsk_205,tsk_205,0.119374
tsk_206,tsk_206,0.218959
tsk_207,tsk_207,-0.163056
tsk_208,tsk_208,-0.923551
tsk_209,tsk_209,0.191572
tsk_210,tsk_210,-0.160871
tsk_211,tsk_211,-0.160871
tsk_212,tsk_212,-0.202329
tsk_213,tsk_213,0.223448
tsk_214,tsk_214,0.0555354
tsk_215,tsk_215,0.00269257
tsk_216,tsk_216,-0.0614769
tsk_217,tsk_217,0.223448
tsk_218,tsk_218,-0.123501
tsk_219,tsk_219,-0.137253
tsk_220,tsk_220,0.0675048
tsk_221,tsk_221,0.0675048
tsk_222,tsk_222,0.191572
tsk_223,tsk_223,0.0722301
tsk_224,tsk_224,-0.0797447
tsk_225,tsk_225,0.0134286
tsk_226,tsk_226,0.0190473
tsk_227,tsk_227,-0.181049
tsk_228,tsk_228,-0.266814
tsk_229,tsk_229,0.100879
tsk_230,tsk_230,-0.227698
tsk_231,tsk_231,-0.269125
tsk_232,tsk_232,-0.0843864
tsk_233,tsk_233,-0.116797
tsk_234,tsk_234,-0.116797
tsk_235,tsk_235,-0.0376058
tsk_236,tsk_236,0.19089
tsk_237,tsk_237,0.210526
tsk_238,tsk_238,-0.166637
tsk_239,tsk_239,0.209502
tsk_240,tsk_240,-0.0379379
tsk_241,tsk_241,-0.230054
tsk_242,tsk_242,0.0502905
tsk_243,tsk_243,-0.107236
tsk_244,tsk_244,0.091019
tsk_245,tsk_245,-0.13246
tsk_246,tsk_246,0.308014
tsk_247,tsk_247,0.116659
tsk_248,tsk_248,-0.0749763
tsk_249,tsk_249,0.178857
tsk_250,tsk_250,-0.31666
tsk_251,tsk_251,-0.46297
tsk_252,tsk_252,-0.0875281
tsk_253,tsk_253,0.0178054
tsk_254,tsk_254,-0.31666
tsk_255,tsk_255,-0.223615
tsk_256,tsk_256,0.0892594
tsk_257,tsk_257,-0.0787044
tsk_258,tsk_258,0.178857
tsk_259,tsk_259,-0.0787044
tsk_260,tsk_260,-0.145549
tsk_261,tsk_261,-0.46297
tsk_262,tsk_262,0.078118
tsk_263,tsk_263,0.0308016
tsk_264,tsk_264,-0.158668
tsk_265,tsk_265,0.152725
tsk_266,tsk_266,-0.0818628
tsk_267,tsk_267,0.219676
tsk_268,tsk_268,-0.00761103
tsk_269,tsk_269,0.078118
tsk_270,tsk_270,-0.00816806
tsk_271,tsk_271,-0.080048
tsk_272,tsk_272,0.0448203
tsk_273,tsk_273,-0.111435
tsk_274,tsk_274,-0.0222081
tsk_275,tsk_275,-0.252315
tsk_276,tsk_276,-0.352093
tsk_277,tsk_277,-0.375841
tsk_278,tsk_278,0.319121
tsk_279,tsk_279,0.0859535
tsk_280,tsk_280,0.0950466
